11 Cabana Trail - 4br                   , 799941  , 2   , 3.5  
110 Tumblehome Way                      , 474723  , 6   , 4.8  
12 Periwinkle - Roman Holiday           , 804561  , 1   , 5.0  
1230 Allen Loop Drive                   , 647349  , 8   , 3.8  
125 Lydia Ave - Pete's Harbor           , 623056  , 7   , 4.0  
13 Seawinds - Heart and Sol             , 720003  , 7   , 5.0  
130 Birmingham - 5br                    , 699053  , 11  , 5.0  
130 Geoff Wilder- Tuscan Breeze         , 446821  , 9   , 4.6  
14 Trigger Trail East                   , 555355  , 10  , 4.0  
143 Cabana Trail                        , 501425  , 13  , 5.0  
156 Palmeira Way                        , 804560  , 1   , 5.0  
170 Canal Street                        , 576171  , 7   , 3.3  
2305 Hwy 83S - Cloud 9                  , 772869  , 0   , X    
27 Bartons Way - Starfish Cottage       , 720307  , 17  , 4.9  
277 Pine Needle Way                     , 683012  , 2   , 5.0  
28 Sandcastle - Truman's Retreat        , 647348  , 9   , 4.4  
306 Red Cedar Way                       , 779735  , 4   , 4.8  
36 Tidewater Ct                         , 772915  , 0   , X    
360 Red Cedar Way - The Love Shack      , 80480   , 22  , 5.0  
40 Ashley Lane - 4br                    , 799942  , 3   , 4.3  
4240 E Co Hwy 30A (Above It All)        , 515629  , 9   , 4.6  
51 Flip Flop - K'Seas Korner            , 690532  , 1   , 4.0  
53 Odessa - Key Lime                    , 455106  , 10  , 4.7  
61 Morgans Trail - Dick's Beach Retreat   , 722803  , 16  , 4.9  
69 Bartons Way - Four C's Retreat       , 610574  , 7   , 4.6  
70 Brown St - Sealantro                 , 774030  , 1   , 5.0  
720 Forest St - Cherry On Top           , 774031  , 2   , 5.0  
731 Western Lake                        , 141073  , X   , X    
77 Snapper St - 3br                     , 796146  , X   , X    
80 Dogwood St                           , 412072  , 7   , 4.3  
86 Sunset Ridge Lane                    , 799972  , 2   , 5.0  
Beachwood Villas 11e - 3br              , 711014  , X   , X    
Beacons Unit 2                          , 565735  , 3   , 4.3  
Carillon Sunset 401                     , 676815  , 4   , 5.0  
High Pointe 11W                         , 465561  , 9   , 4.1  
Seagrove Highlands 1106                 , 459296  , 5   , 4.8  
Seagrove Highlands 1404                 , 565877  , X   , X    
Seagrove Highlands 2404                 , 466158  , 6   , 5.0  
Seaside Penthouse B - The Sweet Escape   , 513178  , 13  , 5.0  
14006 Front Beach Rd - Pelican's Nest   , 808687  , X   , X    
17713 Front Beach Road - 2br            , 610539  , 18  , 4.9  
17715 Front Beach Road - 2br            , 617216  , 20  , 5.0  
